protocol,subset,condition,fold,held_out,lambda,train_median_err_pct,n_train_views
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,31,brics-odroid-026_cam0,10.0,9.7117,105
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,31,brics-odroid-026_cam0,10.0,8.9621,105
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,32,brics-odroid-026_cam1,0.01,9.9913,105
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,32,brics-odroid-026_cam1,10.0,9.7117,105
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,32,brics-odroid-026_cam1,10.0,8.9621,105
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,37,brics-odroid-029_cam1,0.01,9.9913,105
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,37,brics-odroid-029_cam1,10.0,9.7117,105
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,37,brics-odroid-029_cam1,10.0,8.9621,105
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,38,brics-odroid-030_cam0,10.0,8.888,103
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,38,brics-odroid-030_cam0,0.01,9.4068,103
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,38,brics-odroid-030_cam0,10.0,8.6435,103
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,39,brics-odroid-030_cam1,0.01,9.8709,105
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,39,brics-odroid-030_cam1,10.0,9.6903,105
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,39,brics-odroid-030_cam1,10.0,8.8706,105
LOCO_PHYSICAL_CAMERA,DIVERSE32,S1,1,brics-odroid-001_cam1,10.0,9.6245,104
LOCO_PHYSICAL_CAMERA,DIVERSE32,C1,1,brics-odroid-001_cam1,0.01,9.7407,104
LOCO_PHYSICAL_CAMERA,DIVERSE32,C2,1,brics-odroid-001_cam1,10.0,8.6395,104
LOCO_PHYSICAL_CAMERA,DIVERSE32,S1,2,brics-odroid-002_cam0,10.0,9.9535,103
LOCO_PHYSICAL_CAMERA,DIVERSE32,C1,2,brics-odroid-002_cam0,10.0,9.9925,103
LOCO_PHYSICAL_CAMERA,DIVERSE32,C2,2,brics-odroid-002_cam0,10.0,8.893,103
LOCO_PHYSICAL_CAMERA,DIVERSE32,S1,3,brics-odroid-006_cam0,0.01,9.8634,103
LOCO_PHYSICAL_CAMERA,DIVERSE32,C1,3,brics-odroid-006_cam0,10.0,9.8283,103
LOCO_PHYSICAL_CAMERA,DIVERSE32,C2,3,brics-odroid-006_cam0,10.0,8.6435,103
LOCO_PHYSICAL_CAMERA,DIVERSE32,S1,4,brics-odroid-007_cam0,10.0,10.0339,101
LOCO_PHYSICAL_CAMERA,DIVERSE32,C1,4,brics-odroid-007_cam0,10.0,9.9925,101
LOCO_PHYSICAL_CAMERA,DIVERSE32,C2,4,brics-odroid-007_cam0,10.0,8.893,101
LOCO_PHYSICAL_CAMERA,DIVERSE32,S1,5,brics-odroid-007_cam1,0.01,9.8634,101
LOCO_PHYSICAL_CAMERA,DIVERSE32,C1,5,brics-odroid-007_cam1,10.0,9.8283,101
