condition,sequence,camera,physical_camera_id,f_scene_only,f_reference,f_lam_0.01,f_lam_0.03,f_lam_0.1,f_lam_0.3,f_lam_1.0,f_lam_3.0,f_lam_10.0
N0,p41-plant-0004,brics-odroid-009_cam1,brics-odroid-009_cam1,779.2906800982581,931.934998,779.2899874162948,779.2886020661534,779.2837534853935,779.2699016379839,779.2214346396468,779.0830813910554,778.6002857913415
N0,p41-plant-0004,brics-odroid-010_cam0,brics-odroid-010_cam0,713.8149084772119,932.026672,713.8168076878491,713.8206230634823,713.8341575755225,713.8744460692841,714.0375225059776,714.8388245275835,721.7453658166231
N0,p41-plant-0004,brics-odroid-010_cam1,brics-odroid-010_cam1,860.6616549818904,934.134155,860.6824776714003,860.7241217262639,860.8698620154715,861.2861436955428,862.7417403468279,866.8884142769839,881.2975150053229
N0,p41-plant-0004,brics-odroid-011_cam0,brics-odroid-011_cam0,889.6863753630073,922.774414,889.6857023498441,889.6843566390594,889.6796499619252,889.6662306254564,889.6195907753431,889.4890817791128,889.0621028209251
N0,p41-plant-0004,brics-odroid-012_cam0,brics-odroid-012_cam0,826.3524495294193,926.425415,826.349221832582,826.342766463606,826.3201729315231,826.2556222055558,826.0297205971201,825.3845096903312,823.128886720969
N0,p41-plant-0004,brics-odroid-012_cam1,brics-odroid-012_cam1,819.6770342275158,926.514709,819.6725210088567,819.6635008380267,819.6319958862362,819.5425406667434,819.2358250775221,818.4107281046435,815.5771283257496
N0,p41-plant-0004,brics-odroid-014_cam1,brics-odroid-014_cam1,823.8992633976708,922.314819,823.8956644408373,823.8884665398264,823.8632740191789,823.7912965278841,823.5393886009206,822.8197656733158,820.3023208773391
N0,p41-plant-0004,brics-odroid-015_cam0,brics-odroid-015_cam0,869.7098731115979,914.97937,869.7085838920011,869.7060054211428,869.6969804406584,869.6711919319639,869.5808988864967,869.3226332925559,868.4153601689046
N0,p41-plant-0004,brics-odroid-015_cam1,brics-odroid-015_cam1,752.3021231273955,930.794434,752.3024753305049,752.3031797290759,752.3056450437685,752.312688111775,752.3373308229158,752.4076698392392,752.6530573498726
N0,p41-plant-0004,brics-odroid-016_cam0,brics-odroid-016_cam0,1061.888286440248,919.84082,1061.8856467359228,1061.880375917445,1061.8620177622524,1061.8103229088017,1061.6377813842107,1061.2069813936605,1060.1768776831057
N0,p41-plant-0004,brics-odroid-017_cam0,brics-odroid-017_cam0,835.1065697471562,921.894775,835.1071651990908,835.1083560901782,835.1125240747723,835.124431451924,835.1660938568942,835.2850144322088,835.699900944594
N0,p41-plant-0004,brics-odroid-017_cam1,brics-odroid-017_cam1,880.725773203548,938.321167,880.7281854672405,880.7330099476943,880.7498951365301,880.7981343099766,880.966922160623,881.4487513377215,883.1302466890929
N0,p41-plant-0004,brics-odroid-019_cam1,brics-odroid-019_cam1,907.9958853612795,920.925659,908.0284755886721,908.0936417566202,908.3215734400072,908.9715245887913,911.2314974306123,917.5671521865123,927.969932426608
N0,p41-plant-0004,brics-odroid-020_cam0,brics-odroid-020_cam0,937.6948001048769,899.424316,937.6958972479057,937.6980915295584,937.705771469095,937.7277137570716,937.8045071403767,938.0238771731747,938.7912101174543
N0,p41-plant-0004,brics-odroid-020_cam1,brics-odroid-020_cam1,856.2704499750031,925.858521,856.2988011098378,856.3540540139697,856.5334445086581,856.9501306054462,857.7962336339957,858.6384747136316,859.205539522842
N0,p41-plant-0004,brics-odroid-021_cam0,brics-odroid-021_cam0,787.1708683968179,938.355225,787.1784458596263,787.1936002628406,787.246635189455,787.3981165548059,787.9277536169816,789.4363223410076,794.6621554224874
N0,p41-plant-0004,brics-odroid-021_cam1,brics-odroid-021_cam1,862.0287815005657,920.78302,862.0297409144407,862.0316597493517,862.0383757467491,862.0575649553908,862.1247347074102,862.3167127786583,862.9893893071103
